,review
3511,The product was delivered witinh 2 days much more earlier than expected . 
3512,It was nice but unfortunately it lost as soon as i took it for outside  
3513,"Thanks ultima, got the product in mint condition the delivery guy was also very friendly . Well I'm quite impressed by the product and built quality except for the hinge it's kinda doesn't hold really good but for the price great product. I am using it for 3 hrs now really impressive battery still shows 100%. Really good product recommended.."
3514,मईले २४ घण्डा प्रयोग गरेपछि मात्रै Review Didaii xu ek problem vetiyo Automatically bluetooh connect hudaii naa rw aarko phone call connection garera boli rakhdaa kaila kaila earbuds connection off hunxa moh chai iphone 11 maa use gardaii xu mobile hang pani xina mero aaru earbuds sabai check gare yesma ali problem layo geet sunna video hayrna thik xa bass ramro xa delivery chai fast xa 
3515,"Decent performance, instant connection, good battery backup till now, but i experienced that when my phone is inside my pocket it will lag the connection, should test it for long term, and those who is saying that they didn't got the type-c cable it is hidden inside the box @ corner in a rectangular box, decent performance in games like pubg, touches are too"
3516,Received the order within 24 hrs. Type C charging cable was missing in the packet. Product seems good. Sound quality is also excellent. Overall a quality product in this price range. 
3517,Bill ma 1512/- xa but daraz quoted 1699/-(excl. of voucher Rs. 100)/-.
3518,"The product is great in this price segment. Delivered without a scratch. Bought it at 1750/- in 11/11. Overall build quality is good. The lid of case might loosen after a use for a while.Gives best audio at 60/70% volume. The microphones could have been better. The bud design is good as it fits well in ears. However, these may be uncomfortable for small hole ears for continuous use. Gives 🔥great battery backup. Real value for money product. If you get these under 2k,Highly Recommended ! WELCOME"
3519,Fantastic. Great watch. But the seller doesn't communicate in dms.
3520,absolutely loving the sound quality😻 long lasting hoss tetti hoo😍 
3521,"it's durable, nice and has good quality just like me, a chill guy. "
3522,"Phenomenal is how I would describe my initial impressions. As it was my first time trying ultima product, I was delighted with detailed packing and the product itself is a banger. "
3523,"good overall would highly recommend 
came with a sticker as well "
3524,"Its been months, and the product is worth it. Ultimately rocks. "
3525,I am surprised that the parcel got delivered within 24 hours.  
3526,sir this is no battery 🔋 backup so can I return this ear bud 
3527,seems great 👍 good and value for money  for the price range  
3528,"worth buying in this price having ANC features.
it sounds great. size thorai thulo cha.
ear piece silicon total 3 pair aaucha Ani small charging cable Pani. delivery was fast."
3529,"From the price perspective, it's quite good. Technically I don't want to recommend this straight for gaming, cause although it has 40ms response time in 'Game Mode', but 40ms is quite high when it comes to competitive games like PUBG, VALORANT. But if u want for songs and movies, then it's good... Tip: use game mode while watching movies, cause I have been a person who always prefers wired over wireless so I can easily notice some lags in sound although in 40ms response time, and ANC is decent."
3530,so good quality of that earbud I suggest to buy this earbuds 
3531,dami xa aaja pako dami Jo xa kinda hunxa budget and best !!  
3532,"Wow really nice
unboxing -https://youtu.be/OoF00uP0bNU?si=QoiN0cMa3JWy6BRl"
3533,"sano ear hunelai dukhxa ani vocal teti clear xaina
aruta ramro xa. build quality pani ramro xa."
3534,"current using it first impression is good i like the sound quality.
It think it has more base so sound is not crisps base outsines other sound so sound is a little bit unclear.
while gaming i noticed less delay than other airpods of same price range.
I think it will be easier for us consumer if there is app for Ultima decices so we can costum sound for less bass or more"
3535,"Sounds Good
Feels Good
Amazing features 
loved the product💖"
3536,Good quality Ear bud...package delivery was fast too.. 
3537,it's really good. According to price i am satisfied  
3538,Average…Go for high end flagship for better sound…  
3539,It is worth it❤️🫶🏻 everything is nice but somehow i found it difficult to remove the earpiece from the case  🤷🏻‍♀️if u are searching for new earbuds it is worth the buy forsure ❤️
3540,"Received in good condition, a really nice product. "
3541,"The sound quality was really amazing, loved it 😍 "
3542,great product love features worth it 👍 thanks Ultima and Daraz
3543,Helmet lagaauda voice call clear aaudaina raixa  
3544,"Pretty Good, ANC works perfectly, Game mode is also perfect"
3545,Excellent I like the product and I'm satisfied  
3546,kan mah ramrarii feet hudaina jhare jhare garxa 
3547,Please use big size eartips.
3548,beats my gosh it's osm and I love this earbuds  
3549,value for money 💰😄 happy and good condition. 
3550,I loveed The ANC Mode totally great product 💟 
3551,"Value for money
But app dont detect it on ios "
3552,"It’s been almost 2 years, working perfectly. "
3553,"Really loved the product as well as the swift delivery!!
Ordered it in the morning and received it by the evening.
Bought 2 of these for my brothers and they love the product."
3554,babal sound features so happy to have this 
3555,good for the price value for money product 
3556,"One of the best earpods in this price segment!!!!  If your are looking for best budget earpods, this is the one you should consider. Sound Pani best xa...ANC le price anusar ramrae kaam garxa"
3557,According to the price the earbud is good. 
3558,this product is worth it for this price range I personally really liked it👍
3559,good packaging fast delivery best sound  
3560,sound quality battery backup good 👌 👍  
3561,got my package as expected ramro cha 👍 
3562,Babal sound quality 🎧worth the money👌 
3563,"Comfortable sound, great battery life!
 "
3566,Excellent product considering it costs less than 2000. I still adore it now.
3567,dami ..tttjjrrnhfffgggeddhgfftttgfgggg 
3568,Product was nice as expected satisfied 
3569,"really as expected worth buying ♥
good "
3570,nice earbud by ultima. very good wow  
3571,"The high-quality AirPods were delivered within 3 days.
 "
3572,good as per price.....nice body... 
3573,Works great for iPhone❤️ worth it  
3574,Just got my product...waiting for unboxing💖
3575,ghfjguvgxffggghhfhgfcvvvggfcgggf 
3576,"nice product...................
 "
3577,"Nice quality. Worth it.Go for it.
Honest review. "
3578,"7/8 month vayo chalako, works perfectly Active Noise Cancellation ramro cha, long battery 🔋 life and easy connect and disconnect. used on iphone and android sabai ma ramro chalexa."
3579,allover it's good ❤️liked it  
3580,"saman dherai ramro x. sound quality very bast...
otherwise performance very good.. for sometime sound is cut ...hudo raixa mero matra problem hoki k ho . around 2500 hundred below earbuds very bast... i like altima products ❤️❤️❤️❤️"
3581,"good quality, fast delivery , "
3582,"Awesome product 👏 
Better then expected good quality feels premium...
Looking forward to buy more from Ultima😊⭐"
3583,Very good product 😄 Worth it 
3584,best experience I love it ❤️ 
3585,satisfied and  recommended. 
3587,"ramrai xa, budget earbuds  "
3588,ramro xa .. thanks ultima  
3589,good quality I am happy😊 
3590,"It’s good, go on and buyy "
3591,"समस्याहरु:-
-दुवै side को Ear buds काे connection मा problem छ। 
- समय समय मा power on  र off भन्ने।
- आफै disconnect हुने।
- कहिले एउटा side को disconnect हुन्छ भने कहिले अर्को side को।

conclusion:-
यो जस्तो घटिया product मैले life मा देखेको थिएन । 
problem आएर बनाउन देको फेरि त्यही problem सुरुभएको छ। यो ear buds किन्नु भन्दा नकिन्नु ठीक छ । नयाँ किन्दा २३०० पर्यो पछि problem आउँदा बनाउन पठाउँदा ३०० खर्च भयो अब फेरि त्यही problem सुरु भएको छ । के गर्ने होला ultima life_"
3592,Good product i like it❣️ 
3593,works fine as expected❤️ 
3594,luck nice product ....
3595,"nice packing , good product ."
3596,"Really Boom like boom 💥 
.Sound and bass next level battery health excellent 👍. finishing is Soo good 👍😊 I'm very  😊"
3597,amazing product 
3598,Awesome 👍 products  
3599,ramro xa. babal xa.  
3600,very nice i love it 
3601,Good quality for the price 
3602,Arrived as expected 
3603,"Purchased 4 of them...
No problem at anything...
Good sound...easy to used...fast connection...can be used only one side of earbuds too..1 time charge has been lasting for 3 days for me...love it...technically ultima fan...
Just needed ultima watch now 😆👍"
3604,lovely man Paryo❤️ 
3605,ok not good
3606,Dami x lida hunx 
3607,"really  good 
 "
3608,dami lagyo.😊  
3609,thikeii raixaa 
3610,"Overall good
 "
3611,Worth it 👊🏻 
3612,sound quality ramro xaina 1 Ek Bar earbuds Ko Maine connect Kiya aur FIR return kar diya toh Mera return accept hua hi Nahi
3613,Best earbuds under 2599 .Time on delivery 🚚 Amazing sound with nice bass . Everything is perfect but ....I didn't get a warranty card .. 😞 and message ko reply ni aaudaina 🥲
3614,nice.....
3615,Not bad❤️‍🩹 
3617,Dami Xa 👌 
3618,good👍️👍️ 
3619,Excellent product 
3620,supop 
3622,"Good 💯 
 "
3623,Nice❤️ 
3624,wow 
3626,great 😃 
3628,Greatt 
3629,"The sound quality is standard but without gaming mode (normal mode) there is problem of sound delay , normal mode ma ni sound latency ghataunu paryo. "
3630,Best of the best sound quality and value for money..
3631,ANC ra transparency mode raicha bhaneyra chai nakinnu hola...testo dherai chai offer gardaina...natra baki aru sabai ramro cha 
3632, initally i like the sound quality as per price .got sticker on my laptop 😀 . decent enough for price 
3633,Nice! sound quality chahi ek dami ramroo xa ..ani sab mode ramroo xa .tara badhi beir samma laayesi sound agadi paxadi hudo raixa . anyway the bud is nice..I like this one .
3634,Nice quality and bass is too good for this price range!!
3635,Sound quality is very good when you are listening to music or watching movie. Does support call but lack proper audio quality  while calling and need to pair again.  
3636,Quality ta test garepachi tha hola but design is very very bad. tyo earbud jhikda mathi ko cover ma thokincha. ali friendly design nai vayena . very disappointing 
3637,"Got the product quickly but the earpod keeps dropping sound when jogging, especially the left pod. So not happy with the earpod. "
3638,"Case kholera earbuds nikaalna chahi ali aftyaaro nai cha!!!  grip sajilo chhaina!
overall sound quality chahi raamro nai cha! running garda khasdaina kaan bata, tyo chahi manparyo 😁 "
3639,"Speaker quality is good. Mic quality is poor. If you are going to use it in a call scenario, I recommend looking for other products with better mic "
3640,"Good features:
1)   ANC mode
2)  Transparent mode is wow for bikers
3)   Battery lasts more than 5hour
4).  Thoughtful tap controls

Bad features:
1).  Range is very low
2). Disrupts the network but rarely
3). Microphone is very very low quality 
4).  Design is bad because it hurts your ears after using           for more than half hour "
3641,Satisfactory as per the price. Can't differentiate between ANC mode Normal mode and Transparency mode though. Buds are bit hard to take off from the case.
3642,"The Ultima Boom 141 ANC Wireless Bluetooth Earbuds boast impressive features like Active Noise Cancellation, Transparency Mode, and IPX5 water resistance. With low latency and stable Bluetooth connectivity, they're ideal for gaming and workouts. However, I feel the lack of bass which leave room for improvement. Overall, a solid choice for those prioritizing versatility and functionality in wireless earbuds."
3643,I am all time ultimate user always favorite but kinera delivery ko din mai offer ayera discount price ma dekhe 😶 sad for that only baki ta Ultima always fav
3644,"i got it today, sound quality is fine but there is a lot of glitch while on calls, I couldn't hear anything for a minute and the other end couldn't hear me either. one side of the buds stops working for a split second and there's glitches and slow performance. I'll use it for 2 days and see if it needs to be exchanged. I'm super scared as this is my first time purchasing electronics stuffs online and hope the supplier exchanges if i find these issues not fixed for a while. "
3645,Maile kine 😭tarw paxutaya gana sunnw thik xa twrw call sound ekdam bakwas mero sound ni vodro vayarw janxa ani utha sound ni vodro aauxu really disgusting sound irritate lagxa call sound ma 🥲so sad nepali brand  really disappoint me  
3646,I loved this earbuds. Awesome sound quality. Thanks Daraz…
3647,"Got in time works fine all the modes works as advertised but i only didn't like the bass for music, its only normal not very high."
3648,"overall herna parda . price ko hisaab le ekdam ramro raixa . ultima ko neckband use garirathe tesma ni battery backup ra sound ramro thyo . yesma ni ekdam ramro raixa .Anc pani thikai kam garda raixa, testo khatrai ta haina tara budget ko hisab le it's quite good. fully satisfied vaye ma 😁🤩"
3649,worst one 😞 1 hour ni chaldaena ramro sanga I need to exchange this please  
3650,excellent condition 💯
3651,It's good 👍
3652,ekdam babal
3653,The product is very good within this price range. It's a total value for money. Also the service of Daraz has improved over the years. Still same day or day after tomorrow delivery within Kathmandu Valley would be a great addition. 
3654,"the buds build quality is satisfying, sound is good 😊, pairing with Bluetooth v.5 is good.

i face issues while pulling the earbuds out from the box as its smooth finishing doesn't offer a proper grip and gesture is annoying and confusing at starting.

i can refer this to others easily."
3655,why one bud's led is working nd other's not?....rest is ok i guess
3656,Is it only my unit or what it always reset even with gentle touches.
3657,"i received deffective product, hence i returned the product. Thanks to Daraz team for this.  "
3658,Good 👍🏻 product by Ultima... ❣️ 
3659,"pros 
1.sound is just awesome bass , treble, instrument speration is stand out 9 out of 10
2. design and packaging is good

 and now cons
1. battery backup is too bad I used the buds at 30 percent volume and I only got 1.5 hr playback 🥺
not same as advertised 

that's all "
3660,"first time using ultima product, It's really good."
3661,Value for money. The sound quality is awesome and the best part is the backup. And the features  are also awesome. Dami Dami Dami !!!!
3662,Yeh after a couple of months I recommend using it. all modes are perfect. and reasonable price. 
3663,Nice product according to price. Litle bit disappointed on sensors...
3664,Dami xa hoi
3665,All other things is amazing but quite disappointed by ANC. 
3666,Thanks Ultima best earbuds under 2500 
3667,dami lagiyo Nepali product... 
3668,the anc works so nice. And main thing it is proudly made in Nepal❤️. loved it
3669,right side ko airbud charge bhaira xaina 
3670,"For the price I paid, the product looks and feels premium.
Remember the battery won't even last 1.5 hrs after even 100 % charge .
 and I am facing a  connectivity issue if I try to use both the earbuds 😞. Not happy while talking over the phone. "
3671,"RECEIVED PRODUCT  IS GREAT. GOING TO SEE PERFORMANCE 
FOR 1 WEEK AND WILL EDIT THE REVIEW AGAIN 

note: product is working fine "
3672,nice product 😁😁 but pubg khelda sound ali delay huncha... 👍👍👍 battery backup chai dami chha 👌👌
3673,Perfect using since 6 months no issues till now 
3674,"Got a used one...Plz,Exchange it with a new one.plz "
3675,wow product to much good price anusar  ykdamai ramro lagyo malai ta
3676,liked the product but mine has pairing issue and in game mode the sound cuts off randomly which make using it really annoying.
3677,Good product Ultima earbuds😍
3678,very good product for the price 
3679,"I've ordered this one but got atom 820.
i don't know if there has been some problem but I'm totally disappointed."
3680,"#review_wrapup
Very nice.. really amazing for its price..
It's light weight, multi controls with a good build with a matt finish."
3681,value of money this price range.its fantastic product overall every thing is excellent of this product.
3682,"Ultima Boom 141 ANC is a good option for budget-minded listeners who are looking for a pair of earbuds with ANC. May be this is not the best earbuds on the market, but they offer good value for the price.
#review_wrapup"
3683,"I have been using this product for 2.5 month, The first thing I have noticed about this air buds is It is harder to put out air buds from case and it doesn't provide low latency as it promised
Even watching normal video there is sound delay forget about playing game at last the Bluetooth auto disconnect after listening long Time, Transparency mode feels like more noisy

The good thing about this is it has long battery life, gaming mode reduces sound delay, decent ANC at this price point, "
3684,"Loved the Product. Very useful and nice battery backup.
#image_review"
3685,ekdam ramro cha bass music but charging cable chai mero bhanda choto cha ekdam choto aru sabai dami cha ajai receive gareko herum use gardai jada ko experience pachi update garchu thanks to daraz / ultima 🇳🇵🇳🇵 
3686,"I got This Earbud In Rs.1959 During 12:12 Offer 
Product Is awesome And Packaging Also Good Sound Quality is also good Let's See how Long Go with this Earbuds
#review_wrapup"
3687,"charge tai tikdaina 100% dekhauxa ani sidha 20% pugera battery low vanxa. 
Hardly 2/2.5 hours chalxa...mero ma nakli ako ho ki estai ho"
3688,affordable price and best quality sound I really like it.
3689,I really liked the buds they are beasts.
3690,"Chitwan ma Pani 1 day ma Delivery Bhayo , Thats Good and Feel like a premium quality . "
3691,"Bought this because I lost my Galaxy buds. But I must say these are also decent for this price range(2-2.5k). I don't know about the durability and battery life tho as it's only been 5mins since I started using it. The only thing that bothered me is the inbuilt voice command, it's very loud. The anc is thik thikai, and the touch controls are also fairly good."
3692,"Yo chai mero 10 din used gari sake paxi ko review ho product yekdam babal xa noise cancelling, audio quality, battery backup and mic quality sabai awesome xa. without any hesitation  varosa garna saknu hunxa. #review_warpup"
3693,"#review_wrapup
The battery is too good. It can go more than a week with use of few hours everyday for gaming. Minor sound lag during gaming even with game mode on which is present in all budget Bluetooth devices. I had issues with ANC and distance during calls. But at this price range of 2k with offer, Ultima Boom earbud is the best among the budget earbuds in Nepal."
3694,"For first impression, I like the product. Let's use it for a few days. 
Its been a while now, I really love the product :)"
3695,after using 7days: case ko white light off vayana buds nahuda pani and next day buds case ma huda pani Bluetooth connection vairakhyo. tespaxi slowly earbuds charging huna xodyo and case ma buds rakhey paxi fari use garna khojda buds dead. koi koi bela sound ma problm. koi koi bela connectivity problm. volume up down problm. and ultima sanga kura ni gare but no uses. courier garna lai poisa ko kharcha even i haven't experienced properly and daraz ma return ko jhamela. time wasted money wasted
3696,"सामान ठिक छ, स Sound पनि ठिक छ, तर Buds Box बाट  झिक्दा cover ठोकिन्छ "
3697,Packaging was good and intacted but  sound is too low even on full volume. 
3698,yo ear buds ko quality ramro cha Tara mero 520 ko earbud 6 month aagadi dekhi follow-up gardai chu but no responcs kasto service ho? 
3699,"The Ultima Boom Buds 141 offer exceptional sound quality, impressive ANC, and good battery life. However, there's an irritating issue where the incoming call announcement persists until the call ends, even if you try adjusting the volume during the call."
3700,"#review_wrapup
some douts about the quality of ANC otherthan ANC, sound is clear,loud, feel natural and boomy. bought in a discounted rate so happy.
difficult to placed earphone in case and bring it out."
3701,"#review_wrapup
nice product
product design is slightly different
difficult to bring out of case 
sound is good and natural sound"
3702,ramro xa Tara as ko game mode chai Kati balea Kam garcha Kati balea Kam gardina  any way product is good 😊
3703,"Sound quality chai price range ma best nai lago. ANC thikai xa 30 db ko claim anusar thikai xa . Malai best lageko feature chai ANC vanda ni transparency mode ho, aru budget earbuds le bahira ko sound nikai kam garthyo, kasaile bolauda ni nasunne but esma transparency mode le garda bahira ko sunna milo so very useful for me . Battery ta ultima ko kurai garna pardaina 6-7 hours easily chalxa . Naramro lageko chai case ma battery level kati xa vanera tha pauna purai dead vayepaxi matra tha hune . "
3704,"Best quality earbuds for this price range.
Got it at Rs. 1799 on 11.11 sale.
#review_wrapup"
3705,"I bought it 3 months ago. It's working fine till now. But do not expect a lot, it does a decent job like a wired earphone. The sound will not blow your mind, the ANC is not useful, normal/decent for music, game mode does reduce latency during gaming. Also, the mic is not good. 
overall a good device if you want to replace/upgrade from a wired earphone."
3706,"Totally loved the product, ANC is fine but the buds makes is usable and totally loved transparency mode.
Voice on the call is also good and clear."
3707,"Such a good quality earbuds with good quality sound , earlier delivery. good job Ultima also good job Daraz 👏"
3708,ANC and Features are very good. Sound quality/Bass  and the built quality (premiumness) could have been better...
3709,"👌 ultima boom is awesome.. At first I bought it in black colour and was in very brand new condition but again I bought it in white color, I got some dusty finger patches on the earbud like it was already used though it is well  packed. 
Again sound quality is awesome 👌 but somewhat disappointed with the product."
3710,"At this price range, it was a great deal and value for money. While there's room for improvement, my overall experience with the product has been positive."
3711,"Sound 🔊 quality ramro ☑️
Offer ma 1799.. Best price "
3712,"it's really awesome, battery backup and  modes are priceless, just wow. Thankyou team. ❤️"
3713,"overall the product is worth it's price , i haven't checked the game mode feature as iam not gamer but other features like transparency and ANC was not expected to be this better , probably the best buds under 2000 "
3714,I am genuinely happy about the product. got it after 2 days . it's has been great I have used it recently and the sound quality and the gaming mode is just awesome the product is really nice. if you're looking to buy this product you should definitely go for it It's cheap beast❤️
3715,sabaii ramro xa but game mode le khasaii work gare jasto lagena malaii game mode on gare pani sound late naii auxa game ma
3716,"नराम्रो पक्ष भनेको dual device connection नहुनु हो । 

यतिधेरै सुविधा (ANC/transparency/normal/gaming) mode भएकोमा dual device नभएकोले खल्लो महशुस भयो । "
3717,"So far the best earpod in this price range. The only drawback is earpods don't come out of the case easily. Otherwise, everything is praiseworthy."
3718,"Review after 1 day use, sound quality good for music but i didn't find good sound while playing games and when i use mic, sound changes drastically low quality otherelse it's good I like the Anc mode."
3719,ekdamai ramro lagyo hamro nepali product soche vanda ramro raixa gamer ko lagi pani ekdam ramro xa sound delay xaina game khelnu majjale hunxa recommended product 
3720,"one of the best product of Ultima.. it's size, outlook, quality all are so good.. comfortable to take easy.. overall, loved it. "
3721,kinam ho kinam... recommend to every one...dami!!!!!!.....dami!!!!....price aanushar KO taw thikai ho....👍👍
3722,giving this a three star only because of one thing. the grip on the earbuds is really bad. My hand is sweaty most of the times and it is really difficult to get the earbuds out of the case. Sometimes  I need the help of someone else to get my earbuds out of the case. Please fix this issue and please exchange my earbuds if the issue is fixed. This is unbearable for me right now.
3723,good quality 👍 wow
3724,"Nice delivery of the product. Sounds really good for the price it offers but not satisfied with ANC feature as when I turn it on, some crackle noise comes and the whole earbuds sounds distorted. If this is not a common issue then I would love to get it exchanged. Cheers❤️"
3725,"Demerits 
1.The case doesn't closes too well small gap remains.
2.On the serene white variant scratches comes two easily so i prefer black one.

Merits
1.Battery backup really its totally amazing.
2. Audio quality, the bass are goot at this price range or I'll say better than expected. 
3.Sensor control of different mode and volume its fun using it.
3."
3726,I received the earbuds in time and unpacked them right away. It works well and I'm excited to use it. Let's see how long this works. 
3727,"These earbuds are worth every penny! The sound quality and noise cancellation are top-notch, and they make every listening experience exceptional. This one is a true game-changer for wireless earbuds."
3728,"""I absolutely love Ultima Boom Buds 141 earbuds! The sound quality is fantastic, they fit comfortably, and the battery life is impressive. Five stars without a doubt!"""
3729,I recently purchased this product and the entire process was seamless. The product arrived quickly and was exactly as described. I will definitely shop here again! In conclusion it is nice for the price. 
3730,"Dammi lagyo packaging, pani babalai thio. delivery ni on time , yo case banda garda tala white light chai bali rakhxa kina hola? "
3731,"product came with 7 hours of ordering . 
have just started using it so can't say much but it does feel good "
3732,just what I expected from an ultima product. it's just perfect. sound quality over the top. totally worth the price. 10/10 will surely recommend 
3733,product ramro xa price anusar. 1 star minus chai ali full volume ma distortion sound aauxa tae vara. 
3734,Awesome packaging and the product is so good and well maid with looks ❤️❤️ over all I love the device ULTIMA⭐ 
3735,Sound ta Babal xa ta hou.  More than expected.. yo price yaa Yati ko balance sound ⭐️⭐️⭐️... impressed By Our Ultima⭐️⭐️
3736,"Product seems to be good. Sound quality is also good. Talking about battery backup, I used continuously 4.5 hours from 100% charge and  still 30% battery had remained. I think 5 to 6 hour can be played easily. I am giving 4 stars out of 5 because I did not feel any difference on ANC mode or transparency or gaming mode and when you watch tiktok sound is delayed. that's all otherwise overall it is good product."
3737,ultima earbud ekdam ramro lago. phone call ma bolda voice dheri com lago full volume barauda matri alik clear suninx. earbud aauda 100% full battery tho ekdam khusi lago. deliver vaneko location ma aayana yo kura maa alikta satisfied xuina. 
3738,"No doubt it's excellent choice and worth it 😉. 
great bass and treble and ANC works fine too.... 
Buy without hesitation guys "
3739,product ramro xa sound bass clearance ekdam dami xa linda hunxa recommended 
3740,"the product is  good  . the sound quality is  good. Tested playing mobile legends, no lag was felt. Touch is also good.I like the product."
3741,Best Product of ultima. deliver pani 1 din agi nai aayo. kinda hunxa ramro xa.
3742,Excellent
3743,nice and valuable at this price range
3744,awesome product brilliant sound amazing battery life 6 hour bot and 45hr box comfortable 
3745,"delivery time chai badhi lagayo.., light weight lagyo sound good ANC work quiet well...👍👍👍"
3746,Products quality was Satisfied.
3747,It is worth price very impressive
3748,nice product 😀
3749,Offer ma aako bhaye ra best value for money earbud. Sound quality is so good. ANC work so good.
3750,"Overall good but its quite big so it can hurt your ear.
#review_wrapup"
3751,daami layo.. case open garne bitikai join hunxa air pod jastai sai lyo
3752,Good quality ultima
3753,I have  got my product i.e earbuds . thanks to daraz to whom safely given ❤️
3754,"30m chale pachi aadki adki chalcha
anc mode kam gardaina 
transprancy ne kam chaina"
3755,ekdam ramro lagyo babal price anusar dami xa sound quality.battery babal🤗🤗👌👌
3756,nice product.. great battery backup. great sound and bass . but not for small ear😅😅. 
3757,"mero chai yo case ma batti nai nivdaina ekchoti connect garera feri rakhepaxi, feri kholera banda garnu parxa, defect product ho ki estai ho ???"
3758,Sorry for the inconvenience. Earbuds case ma halda kheri charging mode ma gaihlaxa. White light baleko means buds case bhitra charge bhairahe xa. Full charge bhayepaxi bati afai nibhxa
3759,"Sound=3 out of 5
Looks= 4 out of 5
Feature=4 out of 5
Battery=5 out of 5"
3760,"For me it was really worthed.....
For this price range u should want nothing more "
3761,"Product ta ramroo xa daii xa.Delivery Man jan Ramroo lagyo haii mali,very kind Person."
3762,mid range ma yetiko thikxa ♥️
3763,"this product is good, value for money 💰,it's sounds is just like wow 😯❤️"
3764,seriously i gifted my boom161 to my bro and got this boom 141 and i regret it...161 is far better.. anc and enc vaera leko but 616 is best
3765,"#review_wrapup
Very happy.. recommend everyone.."
3766,heram kasto raicha aru... in-ear detection ni huna parne ho chaina raicha. 
3767,dammi X Hoi guys ma kineko 20 days vyo ajhoi 100%  X battery 🔋 💓  
3769,The quality is soo good. I like this product 
3770,Sound and touch controls are good after a year of use also. But the lack of battery indicator is turn off for me  
3771,"Product is satisfying as per the price. Active Noise cancellation is also decent. 
The delivery is surprisingly fast. First time I am fully satisfied in terms of delivery. "
3772,"Thanks for timely shipment. My trust for Ultima products has increased further after using this earbuds. 'Boat' ko earbuds bhanda Ultima ramro lagyo, yo price range maa. "
3773,"i want to  return, very poor Bluetooth configuration 2 meter pani dhandena, whats your return policy  "
3774,"I found lots of problems in this.
it disconnected for no reason in between 
enc is worst I suggest remove enc
 sounds good
light weight 
best for travel "
3775,sound quality ekdam good xa but battery backup chaii tetii ramroo xaina 5/6 hour matra 45 hour vanni matra raixa 
3776,"battery chai tikirax...., video call gardaa net nabujhiye jasto vairax!
Ali paxi pni review dinexu! "
3777,"reviewing after more then year. sound quality drastically dropped nowadays the melody and bess sounds so cheap. 
battery health is kinda worse nowadays. i can barely use 3 hours. "
3778,"Everything is good about this but it auto disconnect and connect sometimes while using, which is very annoying."
3779,"It would have been better if the hinge was tighter. The audio quality is good according to the price. However, the ANC is there just for the sake of the name. "
3780,"Product is good for the price,
ANC doesn’t, work properly. If you are searching for ANC don’t go for the product.
Product has good battery backup
Design is not ergonomic and is bulky.
 "
3781,"ignore all the bad reviews. i just got my product today 
and its great. the sound quality is great. Build quality is good. recommended to buy  "
3782,due to its size i fell uncomfortable when i plug into my. ear but its base and sound are so smooth.. 
3783,maile chalako 6 month huna lagyo ramro nai chaliraca tara battery alli tikna xodeko cha aru thik xa 
3784,Nepali brand chaleko vanera aspali chai kinyo but first and last time. yetiko price rangema boatko earbuds lida thik xa 
3785,Sabai kura ramro xa.. anc works good.. sound quality is good. But yo earbuds app sanga connect hudaina hai.. yeti kura chai consider garnu hola. Sap kura earbuds batai manually garnu parxa. 
3786,Battery back up and sound quality is very good. Only drawback of this product is - its not easy to take off earbuds from its case 😂 
3787,"Honestly Reviewing After A Month
- One of the best earbud of Ultima.
- Comfortable while wearing. 
- Sano tino disturbance le frak na parne.
- Base Khatarnak (Best For Music)😍  
- ANC Babal ❤️
- Gaming Experience: Good (Gaming ko lagi 30 ms ko earbud perfect hunx , but yetiko budget ma 40 ms is good)

NOTE:- 
- Ultima Atom 192 kinne soch ma hunuunxa vane wait halka budget thapnus tara Ultima Boom 141 Linu hola. It is far better than other earbud of Ultima 

- Call garne bela tapaiko aawaj aru lai ali moto janxa but good if you don't use earbuds more while talking 

- Honestly saying, yetiko features bhyaeko earbud aru company ko linu hunx vane you have to pay around 4000 rupees or more than that. So use Nepalese Product instead of using others ☺️ "
3788,onepire side 2.5hour tikne rahixa so both pire 5hour calling time battery thikne rahixa tyo nonstop call ma aru ta normal nai xa 1700ko thikai Pani ho 1200ma paune harulai chahi lottery nai parya jasto ho Bt aba Ultima Le tuppo wa speaker Mathi nai vayako Nikalnu parxa yasle bahiri sounds Sunna sakidaina  
3789,"If anyone who is trying to find a Genuine review of this product :- I am an enthusiastic person and after a brief use for like 4 days, I can confidently say that it is worth it for only those who loves bass and battery life else it's not that great. The case feels a bit cheap type of plastic material and one issue I've with all other Ultima earbuds are they are really hard to take them out, the case opening and earbuds placement is so bad that every time I've to take them out, I need to fight with it for 1 minutes. Else, everything is fine, sound quality is good enough, very comfortable in ear like I wear it for hours and also use them while sleeping listening to music and the earbuds doesn't feels cheap at all. Also the ANC isn't that much great, I can get distracted by sudden noise.  "
3790,"the quality is good, the product is good. Overall everything is good. If anyone wants to buy it, just buy it. Your won't regret it. "
3791,The product is amazing with the good range of Bluetooth. Don't think about spending money here just grab it.. 
3792,likhe ko jasjto sapay kura mili rahe ka xa  ply times chek great ko xaina tara tiyo pani thik thak lage ko ho saund quality bawal raixa ma ta yo product kine ra  santost voyo 
3793,awesome product but boat earbuds is more louder than ultima 141...but overall good product and good built quality and ultima says it is made in nepal but I don't think so... 
3794,"Great for normal purpose,good noise cancelation .. no signs of lagging during gaming.. admirable performance.. .. .. it would be great if different size option for the rubber drums was given... "
